insert into `livros` values ('978-0-18-072205-3', 'A liberdade de mudar direto da fonte', '2020-10-01', '59', '13');
insert into `livros` values ('978-1-56502-956-9', 'A arte de avançar com confiança', '2018-08-07', '10', '4');
insert into `livros` values ('978-0-16-323888-5', 'A certeza de realizar seus sonhos em estado puro', '2009-05-26', '88', '12');
insert into `livros` values ('978-0-624-70539-0', 'A simplicidade de realizar seus sonhos mais rapidamente', '1999-02-23', '10', '7');
insert into `livros` values ('978-0-8338-3975-6', 'O direito de inovar mais rapidamente', '1991-03-29', '30', '5');
insert into `livros` values ('978-1-185-76713-1', 'A arte de atingir seus objetivos antes de tudo', '2004-02-20', '16', '2');
insert into `livros` values ('978-0-18-376494-4', 'A possibilidade de evoluir sem preocupação', '2005-11-28', '17', '8');
insert into `livros` values ('978-1-81780-499-9', 'O conforto de concretizar seus projetos mais facilmente', '2020-05-20', '8', '5');
insert into `livros` values ('978-1-333-29443-4', 'A simplicidade de avançar direto da fonte', '2019-08-29', '57', '1');
insert into `livros` values ('978-0-245-95601-0', 'A certeza de conseguir mais rapidamente', '2009-06-17', '79', '12');
insert into `livros` values ('978-1-80204-438-6', 'A segurança de avançar em estado puro', '2011-07-25', '74', '15');
insert into `livros` values ('978-1-07-568994-9', 'A arte de mudar de maneira eficaz', '2019-03-16', '14', '15');
insert into `livros` values ('978-1-66286-833-7', 'O poder de realizar seus sonhos antes de tudo', '2001-03-11', '72', '17');
insert into `livros` values ('978-0-221-69299-4', 'O direito de mudar com toda a tranquilidade', '1984-01-11', '89', '9');
insert into `livros` values ('978-1-182-12555-2', 'A liberdade de conseguir mais facilmente', '1972-08-13', '67', '6');
insert into `livros` values ('978-0-484-05543-7', 'A liberdade de evoluir mais facilmente', '2006-05-19', '3', '6');
insert into `livros` values ('978-0-405-06723-5', 'O poder de conseguir direto da fonte', '2001-05-01', '37', '3');
insert into `livros` values ('978-1-00-864787-9', 'O direito de avançar de maneira eficaz', '1988-05-17', '45', '6');
insert into `livros` values ('978-0-479-51848-0', 'A liberdade de conseguir antes de tudo', '1988-12-06', '8', '11');
insert into `livros` values ('978-1-382-74691-5', 'A arte de atingir seus objetivos com toda a tranquilidade', '2002-05-28', '16', '4');
insert into `livros` values ('978-0-88415-945-2', 'A vantagem de mudar com confiança', '2011-12-25', '36', '5');
insert into `livros` values ('978-1-63592-096-3', 'A certeza de inovar com força total', '1979-07-15', '52', '14');
insert into `livros` values ('978-0-7654-5792-9', 'O prazer de ganhar com toda a tranquilidade', '1992-05-27', '27', '4');
insert into `livros` values ('978-0-8254-8472-8', 'O conforto de conseguir com força total', '1993-01-30', '24', '4');
insert into `livros` values ('978-1-72716-754-2', 'O prazer de atingir seus objetivos mais facilmente', '1973-04-26', '86', '18');
insert into `livros` values ('978-1-65689-419-9', 'O poder de concretizar seus projetos mais facilmente', '2021-06-08', '65', '11');
insert into `livros` values ('978-1-61595-168-0', 'O direito de concretizar seus projetos com força total', '2008-11-07', '43', '6');
insert into `livros` values ('978-0-644-34037-3', 'A possibilidade de mudar de maneira eficaz', '2018-04-26', '46', '4');
insert into `livros` values ('978-0-916030-76-6', 'A possibilidade de inovar mais rapidamente', '1980-10-06', '66', '13');
insert into `livros` values ('978-1-70921-340-3', 'A certeza de evoluir em estado puro', '2008-05-22', '95', '10');
insert into `livros` values ('978-0-00-531754-9', 'O direito de evoluir direto da fonte', '2021-06-22', '84', '6');
insert into `livros` values ('978-0-7993-2093-0', 'O prazer de inovar com confiança', '2008-12-28', '10', '10');
insert into `livros` values ('978-1-318-45336-8', 'A simplicidade de inovar naturalmente', '1989-07-07', '40', '4');
insert into `livros` values ('978-0-407-13995-4', 'A vantagem de inovar com força total', '1984-06-01', '46', '11');
insert into `livros` values ('978-1-216-91995-9', 'O poder de inovar naturalmente', '1984-07-27', '12', '15');
insert into `livros` values ('978-0-10-921675-5', 'O direito de evoluir simplesmente', '1990-04-10', '34', '13');
insert into `livros` values ('978-1-06-736612-4', 'A vantagem de inovar com confiança', '1980-04-29', '58', '5');
insert into `livros` values ('978-1-886206-38-0', 'A liberdade de mudar em estado puro', '2017-01-31', '94', '2');
insert into `livros` values ('978-0-87659-016-4', 'O prazer de inovar mais rapidamente', '2007-02-22', '3', '11');
insert into `livros` values ('978-1-7342983-5-2', 'A certeza de realizar seus sonhos antes de tudo', '2008-02-01', '93', '13');
insert into `livros` values ('978-1-71900-938-6', 'A certeza de ganhar mais facilmente', '1987-07-03', '24', '3');
insert into `livros` values ('978-0-17-849473-3', 'A certeza de conseguir com força total', '2020-08-21', '58', '12');
insert into `livros` values ('978-1-887841-42-9', 'A simplicidade de avançar antes de tudo', '1970-04-25', '35', '15');
insert into `livros` values ('978-1-249-14139-6', 'A certeza de realizar seus sonhos mais facilmente', '2009-06-13', '87', '20');
insert into `livros` values ('978-0-07-080581-1', 'A arte de atingir seus objetivos mais facilmente', '1997-03-14', '41', '18');
insert into `livros` values ('978-1-254-40859-0', 'A certeza de mudar em estado puro', '2004-10-19', '99', '6');
insert into `livros` values ('978-1-02-580175-9', 'A certeza de concretizar seus projetos com força total', '2007-10-01', '38', '13');
insert into `livros` values ('978-1-61205-186-4', 'O prazer de concretizar seus projetos com confiança', '2015-06-22', '64', '15');
insert into `livros` values ('978-0-224-99441-5', 'A liberdade de conseguir antes de tudo', '2022-03-01', '4', '11');
insert into `livros` values ('978-1-63978-328-1', 'A simplicidade de inovar simplesmente', '1983-01-01', '12', '11');
insert into `livros` values ('978-1-4090-8059-6', 'O conforto de ganhar com força total', '2013-10-08', '45', '15');
insert into `livros` values ('978-1-258-80400-8', 'O prazer de atingir seus objetivos com toda a tranquilidade', '1973-10-09', '27', '16');
insert into `livros` values ('978-1-331-34216-8', 'A vantagem de inovar sem preocupação', '1975-01-27', '76', '19');
insert into `livros` values ('978-1-5231-1351-4', 'O conforto de realizar seus sonhos com toda a tranquilidade', '1987-08-24', '19', '20');
insert into `livros` values ('978-1-330-26103-3', 'A possibilidade de concretizar seus projetos antes de tudo', '1994-05-04', '47', '17');
insert into `livros` values ('978-0-663-17545-1', 'A arte de mudar direto da fonte', '1992-01-26', '40', '1');
insert into `livros` values ('978-0-12-612774-4', 'A vantagem de ganhar direto da fonte', '1982-12-18', '86', '6');
insert into `livros` values ('978-1-301-24748-6', 'A possibilidade de concretizar seus projetos naturalmente', '2021-11-22', '14', '2');
insert into `livros` values ('978-0-17-029628-1', 'A arte de avançar com toda a tranquilidade', '1970-10-19', '24', '15');
insert into `livros` values ('978-0-328-81055-0', 'O direito de conseguir em estado puro', '2006-04-22', '4', '8');
insert into `livros` values ('978-0-538-88906-3', 'O conforto de concretizar seus projetos sem preocupação', '2018-06-30', '59', '20');
insert into `livros` values ('978-0-8316-2850-5', 'O conforto de conseguir direto da fonte', '1992-04-05', '41', '5');
insert into `livros` values ('978-0-320-42400-7', 'A possibilidade de avançar sem preocupação', '1988-08-17', '84', '13');
insert into `livros` values ('978-0-7466-6968-6', 'A possibilidade de evoluir antes de tudo', '2002-02-03', '21', '10');
insert into `livros` values ('978-1-5249-6930-1', 'O prazer de realizar seus sonhos com força total', '1997-12-26', '81', '20');
insert into `livros` values ('978-0-7694-6013-0', 'O conforto de atingir seus objetivos antes de tudo', '1970-06-20', '59', '8');
insert into `livros` values ('978-0-491-49319-2', 'O direito de inovar direto da fonte', '2013-07-08', '49', '10');
insert into `livros` values ('978-1-4532-2872-2', 'O direito de conseguir simplesmente', '1991-07-02', '78', '11');
insert into `livros` values ('978-1-64513-229-5', 'O poder de mudar de maneira eficaz', '2003-03-28', '88', '17');
insert into `livros` values ('978-0-08-344447-2', 'A certeza de inovar antes de tudo', '1972-01-24', '29', '18');
insert into `livros` values ('978-1-168-51024-2', 'A simplicidade de conseguir simplesmente', '1981-08-04', '16', '17');
insert into `livros` values ('978-0-8319-0168-4', 'A vantagem de atingir seus objetivos direto da fonte', '2006-05-18', '59', '11');
insert into `livros` values ('978-0-402-23258-2', 'O direito de mudar mais facilmente', '1975-07-30', '94', '19');
insert into `livros` values ('978-0-576-81079-1', 'A simplicidade de conseguir com confiança', '1995-02-16', '43', '10');
insert into `livros` values ('978-1-4878-1373-4', 'O conforto de evoluir direto da fonte', '1992-10-28', '85', '1');
insert into `livros` values ('978-0-681-54176-4', 'A possibilidade de realizar seus sonhos com confiança', '2011-01-22', '54', '13');
insert into `livros` values ('978-0-919260-24-5', 'A liberdade de atingir seus objetivos de maneira eficaz', '1974-05-19', '36', '3');
insert into `livros` values ('978-1-4412-0975-7', 'A segurança de concretizar seus projetos mais facilmente', '1998-01-14', '1', '6');
insert into `livros` values ('978-0-410-41512-0', 'A possibilidade de mudar mais facilmente', '2021-12-15', '68', '3');
insert into `livros` values ('978-0-552-82122-3', 'O poder de inovar mais facilmente', '1982-06-14', '100', '7');
insert into `livros` values ('978-0-941759-38-0', 'A vantagem de ganhar com força total', '1996-07-02', '41', '18');
insert into `livros` values ('978-0-10-727466-5', 'O poder de ganhar com confiança', '2014-11-10', '83', '17');
insert into `livros` values ('978-0-03-028317-8', 'A arte de inovar com força total', '1994-05-30', '17', '2');
insert into `livros` values ('978-1-5410-1303-2', 'A segurança de conseguir com confiança', '2002-07-18', '76', '6');
insert into `livros` values ('978-1-5157-1329-6', 'A possibilidade de conseguir naturalmente', '2021-06-29', '93', '9');
insert into `livros` values ('978-1-81151-351-4', 'A certeza de inovar mais facilmente', '1998-12-28', '36', '16');
insert into `livros` values ('978-0-282-19914-2', 'A liberdade de ganhar de maneira eficaz', '1994-10-26', '80', '18');
insert into `livros` values ('978-0-902559-05-9', 'O prazer de ganhar naturalmente', '2018-10-10', '39', '3');
insert into `livros` values ('978-0-03-841610-3', 'O poder de ganhar direto da fonte', '2011-01-28', '7', '16');
insert into `livros` values ('978-0-447-91926-4', 'O prazer de inovar mais rapidamente', '1970-09-03', '9', '8');
insert into `livros` values ('978-1-938926-48-8', 'A liberdade de concretizar seus projetos em estado puro', '2013-10-31', '32', '6');
insert into `livros` values ('978-0-88124-566-0', 'O direito de avançar mais rapidamente', '1993-09-15', '6', '6');
insert into `livros` values ('978-1-5062-8987-8', 'O conforto de conseguir com força total', '1974-01-05', '37', '8');
insert into `livros` values ('978-0-488-84853-0', 'O direito de inovar sem preocupação', '2001-02-20', '13', '1');
insert into `livros` values ('978-0-12-658991-7', 'A certeza de atingir seus objetivos simplesmente', '2016-09-26', '98', '15');
insert into `livros` values ('978-0-10-624027-2', 'O conforto de concretizar seus projetos antes de tudo', '1989-08-26', '86', '1');
insert into `livros` values ('978-0-273-13166-3', 'O direito de evoluir sem preocupação', '2022-08-17', '99', '11');
insert into `livros` values ('978-1-86313-620-4', 'O direito de atingir seus objetivos mais rapidamente', '1988-08-29', '85', '14');
insert into `livros` values ('978-1-81884-602-8', 'A possibilidade de realizar seus sonhos antes de tudo', '1974-05-07', '56', '2');
insert into `livros` values ('978-1-5467-5422-0', 'A simplicidade de evoluir antes de tudo', '2009-08-20', '5', '11');
insert into `livros` values ('978-0-8222-5920-6', 'A liberdade de avançar com toda a tranquilidade', '2015-09-22', '82', '11');
insert into `livros` values ('978-1-61216-960-6', 'O direito de avançar com força total', '1974-02-12', '60', '17');
insert into `livros` values ('978-1-938079-19-1', 'A arte de conseguir antes de tudo', '1972-08-12', '73', '2');
insert into `livros` values ('978-1-67903-677-4', 'O poder de conseguir com toda a tranquilidade', '2009-05-18', '28', '20');
insert into `livros` values ('978-1-370-61045-7', 'A arte de ganhar antes de tudo', '1992-02-19', '76', '3');
insert into `livros` values ('978-1-996653-99-9', 'O conforto de atingir seus objetivos simplesmente', '2022-01-28', '100', '7');
insert into `livros` values ('978-0-03-239602-9', 'O direito de mudar direto da fonte', '1972-11-20', '38', '10');
insert into `livros` values ('978-0-594-77919-3', 'O poder de evoluir direto da fonte', '1996-03-03', '90', '20');
insert into `livros` values ('978-0-530-43243-4', 'A possibilidade de inovar simplesmente', '1986-11-16', '31', '14');
insert into `livros` values ('978-0-289-53584-4', 'O conforto de mudar direto da fonte', '1998-03-23', '49', '16');
insert into `livros` values ('978-1-09-771914-3', 'O prazer de conseguir simplesmente', '1984-03-06', '57', '5');
insert into `livros` values ('978-0-9918816-0-4', 'O prazer de ganhar em estado puro', '1987-01-16', '6', '11');
insert into `livros` values ('978-0-01-807929-8', 'A segurança de ganhar sem preocupação', '1988-05-02', '74', '19');
insert into `livros` values ('978-0-7847-2547-4', 'A segurança de concretizar seus projetos mais rapidamente', '2009-08-24', '99', '18');
insert into `livros` values ('978-1-70924-175-8', 'A simplicidade de inovar com toda a tranquilidade', '1972-09-21', '30', '9');
insert into `livros` values ('978-1-198-89225-7', 'A possibilidade de atingir seus objetivos naturalmente', '2006-12-27', '6', '12');
insert into `livros` values ('978-1-03-504498-6', 'O prazer de conseguir naturalmente', '2020-05-31', '42', '13');
insert into `livros` values ('978-1-4687-6581-6', 'A possibilidade de evoluir naturalmente', '2006-09-23', '22', '6');
insert into `livros` values ('978-1-180-07374-9', 'O direito de atingir seus objetivos sem preocupação', '1993-11-21', '42', '3');
insert into `livros` values ('978-1-55698-947-6', 'A segurança de concretizar seus projetos com toda a tranquilidade', '1994-08-30', '1', '7');
insert into `livros` values ('978-0-587-31698-5', 'O prazer de inovar com força total', '2000-10-14', '65', '19');
insert into `livros` values ('978-1-68687-214-3', 'A liberdade de concretizar seus projetos com confiança', '1970-09-16', '100', '9');
insert into `livros` values ('978-1-314-40549-1', 'O poder de inovar com toda a tranquilidade', '1996-12-25', '3', '19');
insert into `livros` values ('978-1-60520-905-0', 'A liberdade de avançar mais rapidamente', '1982-09-09', '30', '12');
insert into `livros` values ('978-0-242-95045-5', 'A certeza de avançar sem preocupação', '2002-02-17', '60', '2');
insert into `livros` values ('978-1-06-177585-4', 'A liberdade de conseguir simplesmente', '1976-02-13', '30', '11');
insert into `livros` values ('978-1-281-54281-6', 'A certeza de mudar de maneira eficaz', '2007-03-18', '81', '2');
insert into `livros` values ('978-0-919902-31-2', 'O poder de mudar simplesmente', '2011-08-01', '30', '15');
insert into `livros` values ('978-0-603-62415-5', 'O conforto de evoluir de maneira eficaz', '2016-08-14', '87', '18');
insert into `livros` values ('978-1-988418-42-1', 'A possibilidade de inovar antes de tudo', '2007-02-09', '64', '15');
insert into `livros` values ('978-1-957080-47-5', 'A certeza de realizar seus sonhos de maneira eficaz', '2019-04-20', '16', '8');
insert into `livros` values ('978-0-385-65802-7', 'A simplicidade de conseguir naturalmente', '2015-03-17', '60', '20');
insert into `livros` values ('978-1-5178-4084-6', 'O conforto de inovar em estado puro', '2012-09-04', '34', '8');
insert into `livros` values ('978-1-171-71534-4', 'O prazer de mudar de maneira eficaz', '2000-12-01', '87', '16');
insert into `livros` values ('978-1-55402-723-1', 'O conforto de avançar com força total', '1989-07-28', '6', '4');
insert into `livros` values ('978-1-05-567918-2', 'A certeza de mudar com confiança', '1977-02-05', '16', '2');
insert into `livros` values ('978-1-283-50201-6', 'A vantagem de realizar seus sonhos em estado puro', '1990-10-16', '32', '17');
insert into `livros` values ('978-0-474-97134-1', 'O conforto de evoluir com força total', '1994-02-01', '64', '18');
insert into `livros` values ('978-1-4448-9903-0', 'A certeza de evoluir direto da fonte', '1985-07-10', '91', '1');
insert into `livros` values ('978-0-698-91343-1', 'A possibilidade de atingir seus objetivos em estado puro', '2013-12-08', '35', '15');
insert into `livros` values ('978-1-70859-000-0', 'A simplicidade de ganhar antes de tudo', '1992-06-27', '41', '5');
insert into `livros` values ('978-0-09-507203-8', 'A simplicidade de atingir seus objetivos simplesmente', '1984-01-21', '58', '15');
insert into `livros` values ('978-1-336-00609-6', 'A vantagem de concretizar seus projetos em estado puro', '2000-01-17', '98', '9');
insert into `livros` values ('978-0-09-172614-0', 'O direito de realizar seus sonhos mais rapidamente', '1996-12-03', '100', '3');
insert into `livros` values ('978-1-924322-11-9', 'A segurança de atingir seus objetivos com força total', '2017-10-01', '17', '1');
insert into `livros` values ('978-1-75736-064-7', 'A possibilidade de ganhar simplesmente', '1998-07-07', '55', '20');
insert into `livros` values ('978-0-13-094081-0', 'A simplicidade de concretizar seus projetos com toda a tranquilidade', '2003-09-23', '52', '4');
insert into `livros` values ('978-1-65323-604-6', 'O direito de conseguir de maneira eficaz', '2008-11-22', '69', '15');
insert into `livros` values ('978-0-627-87093-4', 'A liberdade de realizar seus sonhos sem preocupação', '2015-05-15', '53', '8');
insert into `livros` values ('978-1-01-296854-0', 'A vantagem de concretizar seus projetos com confiança', '1988-10-10', '89', '3');
insert into `livros` values ('978-1-5103-4815-8', 'O conforto de inovar de maneira eficaz', '2015-11-24', '71', '11');
insert into `livros` values ('978-0-85618-278-5', 'A vantagem de inovar naturalmente', '1979-05-15', '28', '3');
insert into `livros` values ('978-1-9811-0509-0', 'O conforto de ganhar simplesmente', '2007-06-25', '68', '12');
insert into `livros` values ('978-0-02-815506-7', 'A certeza de conseguir mais facilmente', '1975-08-16', '32', '13');
insert into `livros` values ('978-0-7915-2118-2', 'A liberdade de conseguir com toda a tranquilidade', '2007-09-23', '84', '11');
insert into `livros` values ('978-0-374-25470-4', 'A segurança de mudar em estado puro', '1979-05-27', '59', '2');
insert into `livros` values ('978-1-4266-6924-8', 'A possibilidade de atingir seus objetivos mais facilmente', '1986-09-04', '24', '8');
insert into `livros` values ('978-1-145-74945-0', 'A possibilidade de avançar de maneira eficaz', '1985-09-11', '48', '7');
insert into `livros` values ('978-0-337-09859-8', 'A liberdade de ganhar simplesmente', '1985-07-04', '58', '4');
insert into `livros` values ('978-1-4905-5467-9', 'A simplicidade de avançar sem preocupação', '2008-08-19', '73', '1');
insert into `livros` values ('978-1-00-245160-1', 'A segurança de concretizar seus projetos direto da fonte', '2022-04-15', '93', '15');
insert into `livros` values ('978-0-402-69839-5', 'O direito de evoluir em estado puro', '2012-10-16', '61', '10');
insert into `livros` values ('978-0-937581-27-8', 'A possibilidade de conseguir mais facilmente', '1973-03-01', '84', '12');
insert into `livros` values ('978-1-69054-820-1', 'A arte de inovar naturalmente', '1987-03-17', '6', '19');
insert into `livros` values ('978-1-938195-78-5', 'O conforto de avançar naturalmente', '1984-04-26', '7', '20');
insert into `livros` values ('978-0-8009-1531-5', 'A arte de mudar sem preocupação', '2002-01-03', '59', '14');
insert into `livros` values ('978-1-68618-659-2', 'A simplicidade de inovar sem preocupação', '1978-04-10', '78', '14');
insert into `livros` values ('978-1-58018-828-9', 'A arte de inovar naturalmente', '1994-10-17', '79', '16');
insert into `livros` values ('978-1-200-10222-0', 'A vantagem de concretizar seus projetos naturalmente', '2006-01-10', '50', '2');
insert into `livros` values ('978-1-77360-583-8', 'A possibilidade de concretizar seus projetos com confiança', '2001-02-21', '88', '17');
insert into `livros` values ('978-1-05-624001-5', 'O poder de mudar de maneira eficaz', '2018-06-28', '21', '6');
insert into `livros` values ('978-0-376-51997-9', 'A liberdade de atingir seus objetivos sem preocupação', '2002-04-02', '30', '17');
insert into `livros` values ('978-0-09-583796-5', 'A vantagem de ganhar mais rapidamente', '1981-06-11', '70', '8');
insert into `livros` values ('978-1-364-57058-3', 'O direito de concretizar seus projetos direto da fonte', '1983-01-08', '8', '3');
insert into `livros` values ('978-1-232-07979-8', 'A simplicidade de realizar seus sonhos sem preocupação', '1973-11-29', '44', '9');
insert into `livros` values ('978-1-86770-085-2', 'O poder de mudar naturalmente', '2017-11-14', '1', '7');
insert into `livros` values ('978-0-89988-587-2', 'A liberdade de atingir seus objetivos com confiança', '2000-08-02', '65', '13');
insert into `livros` values ('978-1-254-34454-6', 'A simplicidade de ganhar mais facilmente', '2011-07-15', '48', '18');
insert into `livros` values ('978-0-201-52439-0', 'O direito de concretizar seus projetos simplesmente', '2018-02-01', '9', '20');
insert into `livros` values ('978-0-573-37636-8', 'O direito de inovar mais facilmente', '1996-12-13', '12', '2');
insert into `livros` values ('978-0-627-66683-4', 'A liberdade de conseguir com confiança', '1992-03-06', '7', '19');
insert into `livros` values ('978-1-61164-504-0', 'O poder de evoluir de maneira eficaz', '1981-10-06', '32', '14');
insert into `livros` values ('978-1-59771-772-4', 'O direito de mudar com confiança', '2018-02-23', '82', '13');
insert into `livros` values ('978-0-7767-0757-0', 'A segurança de atingir seus objetivos com confiança', '2018-06-20', '50', '6');
insert into `livros` values ('978-0-7890-3186-0', 'A certeza de realizar seus sonhos com toda a tranquilidade', '1993-11-12', '35', '10');
insert into `livros` values ('978-0-253-56849-6', 'O conforto de atingir seus objetivos mais rapidamente', '1992-03-09', '12', '20');
insert into `livros` values ('978-1-70775-478-6', 'O direito de inovar naturalmente', '1973-01-29', '66', '5');
insert into `livros` values ('978-1-383-14279-2', 'A liberdade de evoluir com força total', '1974-09-27', '97', '11');
insert into `livros` values ('978-1-82380-531-7', 'O poder de atingir seus objetivos direto da fonte', '2015-10-14', '100', '3');
insert into `livros` values ('978-0-8119-3696-5', 'A liberdade de avançar direto da fonte', '1972-06-14', '41', '10');
insert into `livros` values ('978-0-8266-6827-1', 'O direito de evoluir mais facilmente', '2009-07-31', '1', '2');
insert into `livros` values ('978-0-614-22553-2', 'A possibilidade de atingir seus objetivos mais rapidamente', '1996-08-02', '70', '4');
insert into `livros` values ('978-1-84647-982-3', 'A arte de atingir seus objetivos mais facilmente', '1983-11-26', '7', '13');
insert into `livros` values ('978-0-614-99472-8', 'O poder de conseguir de maneira eficaz', '1974-05-28', '71', '2');
insert into `livros` values ('978-1-05-461542-6', 'A simplicidade de atingir seus objetivos de maneira eficaz', '2002-04-18', '5', '7');
insert into `livros` values ('978-1-56846-995-9', 'A possibilidade de avançar direto da fonte', '2014-02-21', '34', '19');
insert into `livros` values ('978-0-85847-707-0', 'O conforto de concretizar seus projetos antes de tudo', '2003-12-21', '8', '5');
insert into `livros` values ('978-1-04-500171-9', 'A segurança de evoluir antes de tudo', '1999-05-02', '91', '4');
insert into `livros` values ('978-0-04-660029-7', 'A possibilidade de realizar seus sonhos com confiança', '2021-08-31', '19', '16');
insert into `livros` values ('978-1-76361-039-2', 'A arte de evoluir com confiança', '1994-11-26', '90', '18');
insert into `livros` values ('978-1-4221-7282-7', 'A vantagem de inovar antes de tudo', '1990-05-04', '64', '18');
insert into `livros` values ('978-1-314-07423-9', 'A simplicidade de realizar seus sonhos de maneira eficaz', '1978-12-19', '37', '1');
insert into `livros` values ('978-0-05-181498-6', 'A certeza de atingir seus objetivos direto da fonte', '1987-01-18', '10', '10');
insert into `livros` values ('978-1-5487-0843-6', 'O prazer de conseguir simplesmente', '2019-06-21', '89', '9');
insert into `livros` values ('978-0-694-96162-7', 'O prazer de atingir seus objetivos naturalmente', '1984-04-27', '5', '9');
insert into `livros` values ('978-0-263-09902-7', 'A certeza de ganhar de maneira eficaz', '1979-03-25', '48', '19');
insert into `livros` values ('978-0-07-935243-9', 'A arte de avançar simplesmente', '1977-04-13', '10', '11');
insert into `livros` values ('978-0-428-45539-2', 'A certeza de inovar naturalmente', '2018-11-20', '98', '10');
insert into `livros` values ('978-1-9849-7477-8', 'O direito de evoluir antes de tudo', '1996-11-03', '88', '9');
insert into `livros` values ('978-1-68880-356-5', 'A segurança de atingir seus objetivos sem preocupação', '1989-03-04', '81', '3');
insert into `livros` values ('978-0-687-57160-4', 'A segurança de inovar antes de tudo', '2001-09-18', '34', '10');
insert into `livros` values ('978-1-5348-5214-3', 'A liberdade de inovar de maneira eficaz', '2009-09-21', '11', '1');
insert into `livros` values ('978-0-7785-9826-8', 'A segurança de evoluir com toda a tranquilidade', '1987-07-13', '33', '19');
insert into `livros` values ('978-0-373-18325-8', 'O prazer de atingir seus objetivos sem preocupação', '2005-08-13', '51', '11');
insert into `livros` values ('978-0-691-99546-5', 'A possibilidade de avançar antes de tudo', '1984-05-28', '15', '1');
insert into `livros` values ('978-0-339-55280-7', 'A segurança de avançar com força total', '1983-09-17', '78', '8');
insert into `livros` values ('978-0-379-74733-1', 'O conforto de atingir seus objetivos mais rapidamente', '1995-12-18', '50', '11');
insert into `livros` values ('978-0-09-704920-5', 'A liberdade de mudar antes de tudo', '1983-08-08', '22', '11');
insert into `livros` values ('978-1-58868-068-6', 'O direito de atingir seus objetivos com toda a tranquilidade', '1977-03-16', '18', '15');
insert into `livros` values ('978-0-429-73542-4', 'O direito de evoluir simplesmente', '1982-02-28', '43', '20');
insert into `livros` values ('978-1-947782-79-2', 'A simplicidade de inovar com toda a tranquilidade', '1993-11-30', '78', '15');
insert into `livros` values ('978-0-513-91021-8', 'A arte de conseguir com confiança', '2002-09-02', '16', '11');
insert into `livros` values ('978-1-85640-654-3', 'A segurança de realizar seus sonhos simplesmente', '2012-01-05', '87', '16');
insert into `livros` values ('978-1-928428-26-8', 'O poder de concretizar seus projetos mais rapidamente', '1986-08-31', '83', '11');
insert into `livros` values ('978-0-89000-288-9', 'A certeza de realizar seus sonhos antes de tudo', '1989-02-23', '10', '1');
insert into `livros` values ('978-0-455-76148-0', 'A arte de concretizar seus projetos em estado puro', '2011-03-27', '8', '19');
insert into `livros` values ('978-0-7890-8062-2', 'A arte de ganhar antes de tudo', '1980-03-24', '55', '15');
insert into `livros` values ('978-1-887781-39-8', 'A segurança de atingir seus objetivos de maneira eficaz', '1987-11-17', '81', '5');
insert into `livros` values ('978-1-5455-5721-1', 'A certeza de mudar simplesmente', '2017-11-27', '30', '13');
insert into `livros` values ('978-0-01-585661-8', 'O poder de avançar em estado puro', '2018-03-07', '76', '3');
insert into `livros` values ('978-0-200-01857-9', 'A possibilidade de inovar sem preocupação', '1974-09-21', '85', '11');
insert into `livros` values ('978-1-75223-127-0', 'A possibilidade de ganhar com toda a tranquilidade', '1971-06-23', '84', '10');
insert into `livros` values ('978-0-9661264-1-9', 'O direito de inovar sem preocupação', '2002-05-13', '17', '3');
insert into `livros` values ('978-0-8098-0778-9', 'O prazer de avançar com força total', '1981-09-21', '3', '10');
insert into `livros` values ('978-1-109-37756-9', 'O conforto de conseguir com confiança', '2015-06-26', '9', '15');
insert into `livros` values ('978-1-4934-2320-0', 'A simplicidade de conseguir com força total', '2018-01-06', '6', '9');
insert into `livros` values ('978-1-912367-52-8', 'A vantagem de realizar seus sonhos com força total', '2012-10-15', '87', '19');
insert into `livros` values ('978-1-339-84765-8', 'O prazer de ganhar sem preocupação', '2004-11-03', '100', '4');
insert into `livros` values ('978-0-86855-235-4', 'A possibilidade de evoluir mais facilmente', '1998-02-20', '25', '19');
insert into `livros` values ('978-0-917167-32-4', 'O direito de inovar com força total', '1987-03-09', '22', '4');
insert into `livros` values ('978-1-66069-627-7', 'O prazer de atingir seus objetivos simplesmente', '1975-10-08', '6', '17');
insert into `livros` values ('978-1-70469-320-0', 'A vantagem de avançar direto da fonte', '1991-11-29', '9', '2');
insert into `livros` values ('978-1-78474-266-9', 'O direito de ganhar mais facilmente', '2000-10-09', '27', '5');
insert into `livros` values ('978-0-649-24303-7', 'A vantagem de avançar com força total', '2006-08-15', '17', '11');
insert into `livros` values ('978-1-126-89277-9', 'A vantagem de realizar seus sonhos com toda a tranquilidade', '1985-02-17', '42', '20');
insert into `livros` values ('978-1-4297-5949-6', 'A vantagem de ganhar simplesmente', '2015-12-13', '93', '18');
insert into `livros` values ('978-1-913173-31-9', 'A simplicidade de inovar simplesmente', '1999-01-07', '55', '13');
insert into `livros` values ('978-1-76658-380-8', 'O conforto de mudar naturalmente', '1976-06-09', '35', '5');
insert into `livros` values ('978-0-9665722-3-0', 'A simplicidade de ganhar mais facilmente', '2012-07-22', '66', '12');
insert into `livros` values ('978-0-02-569568-9', 'O direito de avançar com toda a tranquilidade', '1982-10-25', '11', '3');
insert into `livros` values ('978-1-225-55792-0', 'O prazer de atingir seus objetivos mais rapidamente', '1987-08-03', '39', '17');
